doc_id,chunk_id,question,answer,text,is_gold
ETR/2016/page_23.pdf-2,0,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,Question: apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy? Evidence: the 2014 net pendapatan of amount ( in millions ) is $ 5735 ; the 2015 net pendapatan of amount ( in millions ) is $ 5829 ;,True
ETR/2016/page_23.pdf-2,1,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,"Context: entergy corporation and subsidiaries management 2019 diskusi dan analisis keuangan sebagai hasil dari entergy louisiana dan entergy gulf states louisiana business combination, hasil operasi untuk 2015 juga mencakup dua item yang terjadi pada oktober 2015 : 1 ) aset pajak tertunda dan peningkatan net dalam dasar pajak yang mengakibatkan sekitar $ 334 juta dan 2 ) kewajiban peraturan sebesar $ 107 juta ( $ 66 juta net of pajak ) sebagai hasil dari kredit pelanggan yang akan direalisasikan oleh pelanggan listrik entergy louisiana, sesuai dengan syarat penyelesaian yang ditetapkan dalam proses penggabungan bisnis. lihat catatan 2 laporan keuangan untuk pembahasan lebih lanjut tentang kombinasi bisnis dan kredit pelanggan. hasil operasi untuk tahun 2015 juga termasuk penjualan pada desember 2015 dari 583 mw rhode island state energy center untuk keuntungan yang nyata sebesar $ 154 juta ( $ 100 juta net of pajak ) dari penjualan dan $ 77 juta ( $ 47 juta net of pajak ) pencabutan dan biaya peraturan untuk mengakui bahwa sebagian aset yang terkait dengan proyek generator uap pengganti waterford 3 tidak lagi mungkin untuk pulih",False
ETR/2016/page_23.pdf-2,2,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,Context: pajak ) dari penjualan dan $ 77 juta ( $ 47 juta net of pajak ) pencabutan dan biaya peraturan untuk mengakui bahwa sebagian aset yang terkait dengan proyek generator uap pengganti waterford 3 tidak lagi mungkin untuk pulih. lihat catatan 14 ke laporan keuangan untuk pembahasan lebih lanjut tentang penjualan pusat energi negara bagian rhode island. lihat catatan 2 ke laporan keuangan untuk pembahasan lebih lanjut tentang pencairan waterford 3. hasil operasi untuk tahun 2014 termasuk biaya $ 154 juta ( $ 100 juta net of pajak ) yang terkait dengan vermont yankee terutama yang dihasilkan dari efek dari studi biaya penghentian yang diperbarui yang diselesaikan pada kuartal ketiga 2014 bersama dengan penilaian ulang asumsi mengenai waktu arus kas penghentian dan biaya pemecatan dan retensi karyawan. lihat catatan 14 ke laporan keuangan untuk pembahasan lebih lanjut tentang biaya. hasil operasi untuk tahun 2014 juga termasuk penyingkiran $ 562 juta ( $ 367 juta bersih pajak ) pada tahun 2014 dari aset regulasi entergy mississippi 2019s yang terkait dengan biaya pengembangan generasi nuklir baru sebagai akibat dari ketentuan,False
ETR/2016/page_23.pdf-2,3,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,"Context: ##kiran $ 562 juta ( $ 367 juta bersih pajak ) pada tahun 2014 dari aset regulasi entergy mississippi 2019s yang terkait dengan biaya pengembangan generasi nuklir baru sebagai akibat dari ketentuan bersama yang dibuat dengan staf utilitas umum mississippi, yang kemudian disetujui oleh mpsc, di mana entergy mississippi setuju untuk tidak mengejar pemulihan biaya yang ditunda dengan perintah mpsc dalam doket generasi nuklir baru. lihat catatan 2 ke laporan keuangan untuk pembahasan lebih lanjut tentang biaya pengembangan generasi nuklir baru dan ketentuan bersama. utilitas pendapatan bersih berikut adalah analisis perubahan pendapatan bersih dibandingkan tahun 2015 hingga 2014. jumlah ( dalam juta ). : 2014 net pendapatan, amount ( in millions ) : $ 5735. : retail electric price, amount ( in millions ) : 187. : volume / weather, amount ( in millions ) : 95. : waterford 3 replacement steam generator provisi, amount ( in millions ) : -",False
ETR/2016/page_23.pdf-2,4,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,"Context: . : volume / weather, amount ( in millions ) : 95. : waterford 3 replacement steam generator provisi, amount ( in millions ) : - 32 ( 32 ). : miso deferral, amount ( in millions ) : - 35 ( 35 ). : louisiana business combination customer credits, amount ( in millions ) : - 107 ( 107 ). : other, amount ( in millions ) : - 14 ( 14 ). : 2015 net pendapatan, amount ( in millions ) : $ 5829 variasi harga listrik ritel terutama karena : kenaikan tarif formula 2022 di entergy louisiana, sebagaimana disahkan oleh lpsc, efektif desember 2014 dan januari 2015 ; 2022 peningkatan pendapatan pembalap efisiensi energi terutama karena peningkatan pada pembalap efisiensi energi di entergy arkansas, sebagaimana disahkan oleh apsc, efektif juli 2015 dan juli 2014, dan pembalap efisiensi energi baru di enter",False
ETR/2016/page_23.pdf-2,5,apa perubahan bersih dalam pendapatan bersih selama 2015 untuk perusahaan entergy?,94,"Context: ##2 peningkatan pendapatan pembalap efisiensi energi terutama karena peningkatan pada pembalap efisiensi energi di entergy arkansas, sebagaimana disahkan oleh apsc, efektif juli 2015 dan juli 2014, dan pembalap efisiensi energi baru di entergy louisiana dan entergy mississippi yang dimulai pada kuartal keempat 2014 ; dan 2022 kenaikan tarif bersih tahunan di entergy mississippi sebesar $ 16 juta, efektif februari 2015, sebagai akibat dari perintah tarif mpsc pada juni 2014. lihat catatan 2 ke laporan keuangan untuk pembahasan tingkat dan prosedur regulasi.",False
INTC/2015/page_41.pdf-4,0,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Question: berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi? Evidence: ( square feet in millions ) the leased facilities2 of unitedstates is 2.1 ; the leased facilities2 of othercountries is 6.0 ; the leased facilities2 of total is 8.1 ; ( square feet in millions ) the total facilities of unitedstates is 32.8 ; the total facilities of othercountries is 23.2 ; the total facilities of total is 56.0 ;",True
INTC/2015/page_41.pdf-4,1,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Context: posisi 1b. komentar staf yang belum terjawab tidak berlaku. posisi 2. properti pada tanggal 26 desember 2015, fasilitas utama kami terdiri dari : ( m2 ) negara - negara amerika serikat total fasilitas milik1. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak",False
INTC/2015/page_41.pdf-4,2,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,Context: tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. 30. 7 17. 2 47. 9 fasilitas disewa2. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku,False
INTC/2015/page_41.pdf-4,3,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,Context: tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. 2. 1 6. 0 8. 1,False
INTC/2015/page_41.pdf-4,4,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Context: tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. aku tidak tahu. 2. 1 6. 0 8. 1. ( square feet in millions ) : owned facilities1, unitedstates : 30. 7, othercountries : 17. 2, total : 47. 9. ( square feet in millions ) : leased facilities2, unitedstates : 2. 1, othercountries : 6. 0, total : 8. 1. ( square feet in millions ) : total facilities, unitedstates : 32. 8, othercountries : 23. 2, total : 56. 0 1 sewa atas bagian tanah yang digunakan untuk fasilitas ini berakhir pada tanggal yang berbeda hingga 2062. 2 lease berakhir pada tanggal yang berbeda hingga 2030 dan umumnya mencakup pembaruan sesuai pilihan kami. kantor eksekutif utama kami",False
INTC/2015/page_41.pdf-4,5,"berapa persen dari total fasilitas yang disewa, diukur dalam kaki persegi?",14%,"Context: sewa atas bagian tanah yang digunakan untuk fasilitas ini berakhir pada tanggal yang berbeda hingga 2062. 2 lease berakhir pada tanggal yang berbeda hingga 2030 dan umumnya mencakup pembaruan sesuai pilihan kami. kantor eksekutif utama kami terletak di as. dan sebagian besar kegiatan pembuatan wafer kami juga terletak di as. kami menyelesaikan pembangunan fasilitas manufaktur di oregon selama 2014 yang kami harapkan akan memungkinkan kami mempertahankan teknologi proses kami memimpin. kami juga menyelesaikan pembangunan bangunan manufaktur skala besar di arizona pada tahun 2013. sebagian dari fasilitas baru oregon dan arizona saat ini tidak digunakan dan kami mengalokasikan bangunan baru untuk kapasitas tambahan dan teknologi masa depan. konstruksi dan pemasangan peralatan tambahan diperlukan untuk mempersiapkan fasilitas untuk penggunaan yang dimaksud. pabrik kami di massachusetts adalah pabrik terakhir kami di 200mm wafer dan berhenti produksi pada q1 2015. di luar as, kami memiliki fasilitas pembuatan wafer di irlandia, israel, dan cina. fasilitas manufaktur kami di irlandia telah beralih ke teknologi proses 14nm kami, dengan manufaktur terus ramp pada tahun 2016.",False
